,Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
26914,28703,25.0,Private,176729.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
25626,27324,32.0,Private,147284.0,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,50.0,United-States,>50K
11027,11765,23.0,Private,330571.0,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,25.0,United-States,<=50K
13916,14840,21.0,Private,448337.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,32.0,United-States,<=50K
7551,8041,32.0,Private,272944.0,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
28516,30415,44.0,Private,188331.0,Some-college,10,Separated,Tech-support,Not-in-family,White,Female,0,0,38.0,United-States,<=50K
21753,23193,23.0,Private,166371.0,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,60.0,United-States,<=50K
15214,16220,36.0,Private,175759.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50.0,United-States,>50K
12992,13848,54.0,Private,138179.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,<=50K
1741,1849,32.0,Self-emp-inc,244665.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,45.0,United-States,>50K
1408,1491,26.0,Private,101150.0,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,41.0,United-States,<=50K
4334,4609,37.0,Local-gov,34173.0,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25.0,United-States,<=50K
16588,17681,22.0,Private,124454.0,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,30.0,United-States,<=50K
24441,26066,38.0,Private,183585.0,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
2820,3004,25.0,Private,117589.0,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
24763,26403,25.0,Private,200318.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60.0,United-States,<=50K
24401,26025,23.0,Private,292023.0,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,30.0,United-States,<=50K
1975,2097,56.0,Local-gov,160829.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,46.0,United-States,<=50K
25324,26999,60.0,State-gov,190682.0,Assoc-voc,11,Widowed,Other-service,Not-in-family,Black,Female,0,0,37.0,United-States,<=50K
2087,2223,23.0,Private,336360.0,7th-8th,4,Never-married,Craft-repair,Own-child,Black,Male,0,0,40.0,United-States,<=50K
16988,18095,68.0,Private,159191.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
17683,18831,30.0,Private,227551.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40.0,United-States,<=50K
25296,26971,38.0,Private,255621.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40.0,United-States,<=50K
14451,15405,49.0,Local-gov,199378.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40.0,United-States,<=50K
7556,8047,62.0,Private,153891.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,>50K
21632,23063,36.0,Private,280440.0,Assoc-acdm,12,Never-married,Tech-support,Unmarried,White,Female,0,0,45.0,United-States,<=50K
9887,10551,38.0,Private,33887.0,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40.0,United-States,<=50K
27627,29463,34.0,Private,242984.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
29574,31541,26.0,Private,448337.0,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,40.0,United-States,<=50K
27317,29126,21.0,State-gov,204425.0,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,20.0,United-States,<=50K
1193,1261,53.0,Private,89534.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,48.0,United-States,>50K
20901,22287,20.0,Private,360457.0,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,30.0,United-States,<=50K
19830,21134,42.0,Local-gov,177937.0,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50.0,,<=50K
3306,3512,26.0,Private,152035.0,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40.0,United-States,<=50K
9784,10441,23.0,Private,111450.0,12th,8,Never-married,Other-service,Unmarried,Black,Male,0,0,38.0,United-States,<=50K
30210,32225,51.0,Private,128272.0,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45.0,United-States,<=50K
5260,5597,26.0,Private,262617.0,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,2597,0,40.0,United-States,<=50K
14899,15885,47.0,Private,158924.0,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40.0,United-States,<=50K
5465,5813,53.0,Private,266529.0,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40.0,United-States,>50K
11720,12494,32.0,Private,148207.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
20560,21923,40.0,Private,109969.0,11th,7,Divorced,Other-service,Other-relative,White,Female,0,0,20.0,United-States,<=50K
19791,21095,60.0,Private,165441.0,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40.0,United-States,<=50K
8461,9027,39.0,Private,258102.0,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50.0,United-States,<=50K
9143,9753,44.0,Local-gov,107845.0,Assoc-acdm,12,Divorced,Protective-serv,Not-in-family,White,Female,0,0,56.0,United-States,>50K
18119,19291,50.0,Self-emp-not-inc,341797.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50.0,United-States,>50K
13512,14406,41.0,Private,106900.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,1902,42.0,United-States,>50K
8717,9298,33.0,Private,50276.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
8067,8599,62.0,State-gov,159699.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,38.0,United-States,<=50K
4498,4788,37.0,Private,117381.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45.0,United-States,<=50K
29037,30975,40.0,Private,320451.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1977,45.0,Hong,>50K
2931,3123,42.0,Private,54102.0,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
21910,23361,40.0,Private,30682.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45.0,United-States,>50K
18023,19193,44.0,Local-gov,189956.0,Bachelors,13,Married-civ-spouse,Protective-serv,Wife,Black,Female,15024,0,40.0,United-States,>50K
9817,10479,39.0,Private,204501.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,>50K
27021,28817,48.0,Private,266764.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45.0,United-States,>50K
9967,10635,36.0,Federal-gov,184556.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40.0,United-States,<=50K
18070,19240,69.0,,337720.0,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,24.0,United-States,<=50K
14272,15211,36.0,Private,33983.0,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42.0,United-States,>50K
23636,25197,45.0,Private,118889.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
9790,10449,17.0,Private,191910.0,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,25.0,United-States,<=50K
9501,10136,36.0,Self-emp-not-inc,151322.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45.0,United-States,>50K
22608,24112,59.0,Private,169639.0,Assoc-acdm,12,Widowed,Exec-managerial,Unmarried,White,Female,0,0,40.0,United-States,<=50K
19767,21069,23.0,Private,283796.0,12th,8,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,30.0,Mexico,<=50K
3633,3858,31.0,Private,375680.0,Bachelors,13,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,40.0,,<=50K
1019,1079,43.0,State-gov,227910.0,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40.0,United-States,>50K
9855,10519,25.0,Private,199947.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40.0,United-States,<=50K
16133,17190,23.0,Private,104443.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40.0,United-States,<=50K
4608,4905,43.0,Private,116852.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,36.0,Portugal,>50K
3268,3474,43.0,Local-gov,108945.0,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,48.0,United-States,<=50K
12572,13397,49.0,Local-gov,177114.0,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,60.0,United-States,<=50K
11844,12628,27.0,Private,126730.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
19578,20865,60.0,Private,43235.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50.0,United-States,>50K
4440,4722,24.0,Private,314823.0,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40.0,Dominican-Republic,<=50K
14119,15053,32.0,Private,309513.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50.0,United-States,<=50K
23231,24771,27.0,Private,287476.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,3325,0,40.0,United-States,<=50K
19053,20299,17.0,Private,147339.0,10th,6,Never-married,Prof-specialty,Own-child,Other,Female,0,0,15.0,United-States,<=50K
16721,17820,54.0,Self-emp-not-inc,199741.0,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Male,0,2001,35.0,United-States,<=50K
2863,3051,48.0,Private,119199.0,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,44.0,United-States,<=50K
21411,22826,21.0,Private,166851.0,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40.0,United-States,<=50K
26687,28458,23.0,Private,77581.0,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40.0,United-States,<=50K
12840,13684,42.0,Private,190786.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
13558,14455,32.0,Private,370160.0,Some-college,10,Separated,Exec-managerial,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
5126,5448,35.0,Private,101709.0,HS-grad,9,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,60.0,United-States,<=50K
25859,27571,67.0,Private,150516.0,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,24.0,United-States,<=50K
28320,30208,17.0,,34019.0,10th,6,Never-married,,Own-child,White,Male,0,0,20.0,United-States,<=50K
9014,9614,28.0,Private,274690.0,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
23534,25089,39.0,Private,176296.0,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,60.0,United-States,<=50K
21487,22904,36.0,Private,212433.0,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40.0,United-States,<=50K
22234,23711,63.0,,234083.0,HS-grad,9,Divorced,,Not-in-family,White,Female,0,2205,40.0,United-States,<=50K
1791,1903,26.0,Private,270276.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
26212,27953,30.0,Private,169496.0,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,0,0,15.0,United-States,>50K
14607,15567,61.0,State-gov,159908.0,11th,7,Widowed,Other-service,Unmarried,White,Female,0,0,32.0,United-States,>50K
21597,23025,21.0,Private,411068.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,35.0,United-States,<=50K
28815,30735,42.0,Private,230959.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,1887,40.0,Philippines,>50K
11193,11937,46.0,Private,143189.0,5th-6th,3,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40.0,Dominican-Republic,<=50K
6296,6707,51.0,Local-gov,114508.0,9th,5,Separated,Other-service,Other-relative,White,Female,0,0,40.0,United-States,<=50K
11507,12265,25.0,Private,324372.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40.0,United-States,<=50K
17932,19097,62.0,Local-gov,167889.0,Doctorate,16,Widowed,Prof-specialty,Unmarried,White,Female,0,0,40.0,Iran,<=50K
2093,2229,51.0,Private,224763.0,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40.0,Cuba,<=50K
17129,18246,23.0,Private,120046.0,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Male,0,0,40.0,United-States,<=50K
7332,7814,26.0,Private,89648.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50.0,United-States,<=50K
29568,31535,51.0,Self-emp-not-inc,291755.0,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42.0,United-States,<=50K
22949,24475,41.0,,152880.0,HS-grad,9,Divorced,,Not-in-family,Black,Female,0,0,28.0,United-States,<=50K
8431,8997,42.0,Private,30424.0,11th,7,Separated,Other-service,Unmarried,White,Female,0,0,38.0,United-States,<=50K
21497,22914,52.0,Private,443742.0,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60.0,United-States,<=50K
28449,30346,47.0,Private,180277.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40.0,Hungary,<=50K
18598,19809,35.0,Private,187089.0,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,42.0,United-States,>50K
18072,19242,56.0,Private,134756.0,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,40.0,United-States,<=50K
15283,16290,21.0,Private,57916.0,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,0,0,40.0,United-States,<=50K
10056,10730,42.0,Federal-gov,31621.0,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
16606,17700,32.0,Self-emp-not-inc,115066.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60.0,United-States,>50K
4778,5080,30.0,Private,211840.0,Some-college,10,Separated,Sales,Unmarried,Black,Female,0,0,16.0,United-States,<=50K
24904,26554,35.0,Private,206951.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40.0,United-States,>50K
10396,11091,49.0,Private,102583.0,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1848,44.0,United-States,>50K
5525,5880,28.0,Private,161607.0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45.0,United-States,<=50K
4398,4676,17.0,Private,262511.0,11th,7,Never-married,Sales,Own-child,White,Male,0,0,20.0,United-States,<=50K
9280,9898,21.0,Private,187513.0,Assoc-voc,11,Never-married,Craft-repair,Unmarried,White,Male,0,0,40.0,United-States,<=50K
1083,1145,33.0,Private,354573.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,44.0,United-States,>50K
5629,5986,56.0,Private,108276.0,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
17534,18676,25.0,Private,146117.0,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,42.0,United-States,<=50K
4917,5227,50.0,Local-gov,186888.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40.0,United-States,>50K
26073,27804,28.0,Private,82488.0,HS-grad,9,Divorced,Tech-support,Own-child,Asian-Pac-Islander,Female,0,0,40.0,United-States,<=50K
1276,1349,62.0,,225652.0,7th-8th,4,Married-civ-spouse,,Husband,White,Male,3411,0,50.0,United-States,<=50K
18723,19943,59.0,Local-gov,181242.0,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
20646,22012,28.0,Private,239130.0,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50.0,United-States,<=50K
22849,24372,55.0,Private,164332.0,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,16.0,United-States,<=50K
9816,10478,46.0,Private,332355.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40.0,United-States,<=50K
28219,30100,37.0,Private,241962.0,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50.0,United-States,<=50K
13587,14485,33.0,Local-gov,269604.0,5th-6th,3,Never-married,Other-service,Unmarried,Other,Female,0,0,40.0,El-Salvador,<=50K
3207,3412,41.0,Private,187821.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2885,0,40.0,United-States,<=50K
15732,16765,31.0,Private,19302.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,>50K
11883,12668,53.0,Private,177916.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40.0,United-States,>50K
6758,7209,53.0,Private,299080.0,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
13665,14570,61.0,Self-emp-not-inc,219183.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50.0,United-States,>50K
9741,10397,52.0,Private,67090.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,44.0,United-States,<=50K
13625,14526,48.0,Private,101299.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
28168,30048,55.0,Private,209535.0,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
27363,29178,25.0,Private,181772.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
9928,10594,45.0,Private,117409.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40.0,United-States,>50K
13503,14396,39.0,Self-emp-not-inc,343476.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50.0,Japan,>50K
15568,16592,40.0,Private,182140.0,HS-grad,9,Separated,Transport-moving,Unmarried,Black,Male,0,0,40.0,United-States,<=50K
100,105,32.0,Self-emp-inc,317660.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40.0,United-States,>50K
7222,7696,40.0,Private,116103.0,Some-college,10,Separated,Craft-repair,Unmarried,White,Male,4934,0,47.0,United-States,>50K
20811,22188,39.0,Private,78171.0,Some-college,10,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,40.0,United-States,<=50K
4300,4573,21.0,Private,448337.0,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
22392,23884,42.0,Private,296982.0,Some-college,10,Divorced,Sales,Unmarried,White,Male,0,0,40.0,United-States,<=50K
19548,20834,47.0,Private,115613.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50.0,United-States,>50K
15229,16235,59.0,Private,307423.0,9th,5,Never-married,Other-service,Not-in-family,Black,Male,0,0,50.0,United-States,<=50K
9693,10345,28.0,Private,261725.0,1st-4th,2,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40.0,Mexico,<=50K
27593,29425,62.0,Private,138621.0,Assoc-voc,11,Separated,Priv-house-serv,Not-in-family,Black,Female,0,0,20.0,United-States,<=50K
29347,31306,52.0,State-gov,109600.0,Masters,14,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,4787,0,44.0,United-States,>50K
27552,29382,26.0,State-gov,294400.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,38.0,United-States,<=50K
15686,16717,31.0,Private,198452.0,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40.0,United-States,<=50K
15306,16319,22.0,Private,276494.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40.0,United-States,<=50K
18923,20159,64.0,,108082.0,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,40.0,United-States,<=50K
18564,19772,59.0,Private,176647.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
9581,10223,27.0,Self-emp-not-inc,243569.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40.0,United-States,<=50K
18915,20151,36.0,Private,143068.0,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,40.0,United-States,<=50K
1020,1080,43.0,Private,173728.0,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,0,0,40.0,United-States,<=50K
26696,28468,50.0,Private,108933.0,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,2885,0,40.0,United-States,<=50K
8558,9130,40.0,Private,259307.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,>50K
20455,21810,21.0,Private,189203.0,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
4429,4709,38.0,Private,179668.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50.0,United-States,>50K
15034,16027,48.0,Self-emp-not-inc,309895.0,Some-college,10,Divorced,Handlers-cleaners,Own-child,White,Female,0,0,40.0,United-States,<=50K
22848,24371,54.0,Private,146834.0,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60.0,United-States,<=50K
28715,30628,65.0,,115513.0,Bachelors,13,Married-civ-spouse,,Husband,White,Male,5556,0,48.0,United-States,>50K
27095,28894,25.0,Private,198587.0,Some-college,10,Never-married,Tech-support,Not-in-family,Black,Female,2174,0,50.0,United-States,<=50K
20511,21871,52.0,Private,183611.0,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40.0,United-States,<=50K
23078,24609,32.0,Private,202498.0,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,Columbia,<=50K
18988,20227,40.0,,65545.0,Masters,14,Divorced,,Own-child,White,Female,0,0,55.0,United-States,<=50K
14306,15247,50.0,Private,189183.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40.0,United-States,<=50K
20144,21476,29.0,Private,157612.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,14344,0,40.0,United-States,>50K
23258,24799,51.0,Local-gov,47415.0,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1628,30.0,United-States,<=50K
14792,15769,45.0,Local-gov,191776.0,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
17262,18388,36.0,Private,185607.0,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,30.0,United-States,<=50K
21918,23369,28.0,Private,249870.0,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,50.0,United-States,<=50K
26213,27954,53.0,Private,22978.0,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50.0,United-States,>50K
15333,16347,46.0,State-gov,394860.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38.0,United-States,<=50K
6629,7069,46.0,Private,185673.0,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
19631,20923,45.0,Private,241350.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,48.0,United-States,>50K
9992,10662,18.0,Private,376647.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,2176,0,25.0,United-States,<=50K
6887,7342,37.0,Private,213841.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50.0,United-States,>50K
80,85,53.0,Private,346253.0,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,35.0,United-States,<=50K
13548,14445,34.0,Private,345360.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40.0,England,<=50K
15381,16397,47.0,Private,107682.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,48.0,United-States,<=50K
22456,23952,59.0,Private,81929.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45.0,United-States,>50K
22564,24066,21.0,Private,113163.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,50.0,United-States,<=50K
5753,6122,18.0,Private,71792.0,HS-grad,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,40.0,United-States,<=50K
11634,12402,50.0,Private,40623.0,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
875,921,25.0,Private,98155.0,Some-college,10,Never-married,Transport-moving,Unmarried,White,Male,0,0,40.0,United-States,<=50K
8599,9176,20.0,Private,188612.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,38.0,Nicaragua,<=50K
28042,29907,35.0,Private,448337.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45.0,United-States,<=50K
9830,10492,26.0,Private,55929.0,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
10504,11206,54.0,Federal-gov,439608.0,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
18019,19189,35.0,Private,172694.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40.0,United-States,<=50K
25849,27560,25.0,Self-emp-not-inc,217030.0,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,30.0,United-States,<=50K
14595,15555,39.0,Private,167482.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60.0,United-States,>50K
28553,30453,22.0,Private,408383.0,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,40.0,United-States,<=50K
28348,30239,34.0,Private,106761.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45.0,United-States,>50K
11750,12526,46.0,State-gov,30219.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,38.0,United-States,>50K
4922,5232,57.0,Local-gov,323309.0,7th-8th,4,Divorced,Other-service,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
13243,14116,30.0,Private,36340.0,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,24.0,United-States,<=50K
24968,26622,41.0,Private,207375.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,50.0,United-States,<=50K
13586,14484,25.0,Private,120535.0,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40.0,United-States,<=50K
